ano,muni_id,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2010,3522653,ITAPIRAPUÃ PAULISTA,SP,Sudeste,0.661,0.594,0.816,0.595,73.96,323.42,0.53,3840,-24.574,-49.168
2010,3522703,ITÁPOLIS,SP,Sudeste,0.744,0.667,0.836,0.738,75.14,787.75,0.45,39812,-21.596,-48.813
2010,3522802,ITAPORANGA,SP,Sudeste,0.719,0.653,0.835,0.681,75.11,552.76,0.53,14346,-23.708,-49.49
2010,3522901,ITAPUÍ,SP,Sudeste,0.725,0.633,0.841,0.716,75.47,687.46,0.41,12138,-22.233,-48.719
2010,3523008,ITAPURA,SP,Sudeste,0.72,0.673,0.813,0.682,73.75,556.29,0.45,4249,-20.646,-51.509
2010,3523107,ITAQUAQUECETUBA,SP,Sudeste,0.714,0.648,0.844,0.665,75.66,502.85,0.42,320722,-23.486,-46.348
2010,3523206,ITARARÉ,SP,Sudeste,0.703,0.649,0.803,0.668,73.18,510.2,0.48,47640,-24.115,-49.341
2010,3523305,ITARIRI,SP,Sudeste,0.677,0.577,0.837,0.642,75.21,434.58,0.5,15247,-24.289,-47.174
2010,3523404,ITATIBA,SP,Sudeste,0.778,0.708,0.844,0.788,75.64,1080.74,0.48,101022,-23.006,-46.839
2010,3523503,ITATINGA,SP,Sudeste,0.706,0.61,0.841,0.685,75.44,568.58,0.43,17981,-23.102,-48.616
2010,3523602,ITIRAPINA,SP,Sudeste,0.724,0.636,0.813,0.734,73.77,772.14,0.48,12711,-22.253,-47.823
2010,3523701,ITIRAPUÃ,SP,Sudeste,0.707,0.636,0.826,0.673,74.55,526.62,0.44,5889,-20.641,-47.219
2010,3523800,ITOBI,SP,Sudeste,0.717,0.646,0.82,0.697,74.19,611.41,0.41,7471,-21.737,-46.975
2010,3523909,ITU,SP,Sudeste,0.773,0.692,0.854,0.782,76.23,1038.14,0.52,153278,-23.264,-47.299
2010,3524006,ITUPEVA,SP,Sudeste,0.762,0.699,0.844,0.75,75.63,848.65,0.43,44744,-23.153,-47.058
2010,3524105,ITUVERAVA,SP,Sudeste,0.765,0.694,0.841,0.768,75.47,950.39,0.52,38583,-20.339,-47.781
2010,3524204,JABORANDI,SP,Sudeste,0.711,0.627,0.845,0.679,75.71,548.22,0.39,6530,-20.688,-48.413
2010,3524303,JABOTICABAL,SP,Sudeste,0.778,0.71,0.851,0.778,76.08,1015.51,0.52,70825,-21.255,-48.322
2010,3524402,JACAREÍ,SP,Sudeste,0.777,0.749,0.837,0.749,75.2,846.53,0.49,210649,-23.305,-45.966
2010,3524501,JACI,SP,Sudeste,0.723,0.659,0.818,0.7,74.05,624.57,0.35,5475,-20.882,-49.57
2010,3524600,JACUPIRANGA,SP,Sudeste,0.717,0.644,0.832,0.687,74.89,574.52,0.53,17070,-24.693,-48.002
